Sex_female,Sex_male,Label
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,1
true,false,1
false,true,0
true,false,1
false,true,1
false,true,0
false,true,0
true,false,1
false,true,0
true,false,1
false,true,1
true,false,1
true,false,1
false,true,0
false,true,0
true,false,1
true,false,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,1
true,false,0
false,true,0
false,true,1
true,false,1
false,true,1
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,1
false,true,0
false,true,0
true,false,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
true,false,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,0
true,false,1
false,true,1
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
true,false,1
true,false,1
true,false,1
true,false,1
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,1
true,false,1
true,false,1
false,true,0
false,true,1
true,false,1
false,true,0
true,false,1
true,false,1
true,false,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,1
false,true,0
false,true,1
true,false,1
true,false,1
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,1
true,false,1
true,false,1
false,true,1
false,true,0
true,false,1
false,true,0
false,true,1
true,false,1
true,false,1
false,true,0
true,false,1
true,false,1
true,false,1
true,false,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,1
false,true,0
true,false,1
true,false,1
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
false,true,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
true,false,0
true,false,1
true,false,1
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
true,false,1
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
true,false,0
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
true,false,1
false,true,1
false,true,1
false,true,0
true,false,1
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
true,false,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,1
false,true,0
true,false,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,1
true,false,0
true,false,1
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
false,true,1
false,true,1
true,false,1
true,false,1
false,true,0
false,true,0
true,false,1
true,false,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,1
false,true,1
true,false,1
false,true,1
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,1
false,true,0
true,false,1
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
true,false,1
true,false,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,1
true,false,0
true,false,1
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
true,false,0
true,false,0
true,false,1
false,true,0
true,false,1
false,true,1
false,true,0
false,true,1
false,true,1
false,true,0
false,true,1
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
true,false,1
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
true,false,0
true,false,1
false,true,0
true,false,1
false,true,0
true,false,1
true,false,1
true,false,0
true,false,0
false,true,1
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
false,true,1
false,true,1
false,true,0
false,true,0
false,true,1
true,false,1
false,true,0
true,false,1
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,1
false,true,1
true,false,1
false,true,1
true,false,1
false,true,0
false,true,0
true,false,1
true,false,1
true,false,0
false,true,1
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,1
true,false,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,1
true,false,1
true,false,1
true,false,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
true,false,0
true,false,1
false,true,0
false,true,0
false,true,1
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,1
false,true,0
false,true,1
false,true,0
true,false,0
true,false,1
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,1
true,false,0
false,true,1
true,false,1
false,true,1
false,true,0
false,true,1
false,true,0
true,false,1
false,true,0
true,false,1
false,true,0
true,false,1
true,false,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,0
false,true,1
true,false,0
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,1
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,1
true,false,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,1
true,false,1
false,true,1
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,0
true,false,1
true,false,1
false,true,0
true,false,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,1
false,true,0
false,true,0
false,true,1
false,true,0
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,1
true,false,1
false,true,0
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
false,true,0
true,false,1
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,1
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,0
false,true,0
true,false,1
false,true,1
false,true,1
false,true,1
false,true,0
false,true,0
true,false,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,1
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,1
false,true,1
true,false,1
true,false,1
false,true,1
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,1
false,true,1
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
false,true,0
true,false,1
false,true,0
false,true,0
true,false,0
true,false,1
true,false,0
true,false,1
true,false,1
false,true,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,0
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
false,true,1
false,true,0
true,false,1
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
false,true,0
false,true,0
true,false,1
true,false,1
false,true,0
true,false,0
false,true,0
false,true,0
true,false,0
false,true,0
true,false,1
true,false,0
false,true,1
false,true,0
